"","StartDate","EndDate","Status","IPAddress","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","研究介紹","研究同意書","Q1","Q2","Q3","Q4","Q5","Q5_5_TEXT","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q12_6_TEXT","Q13","Q14","Q14_11_TEXT","Q15_1","Q15_2","Q15_3","Q15_4","Q15_5","Q15_6","Q15_7","Q15_8","Q15_9","Q15_10","Q15_11","Q15_12","Q15_13","Q15_14","Q15_15","Q15_16","Q15_17","Q16_1","Q16_2","Q16_3","Q16_4","Q16_5","Q16_6","Q16_7","Q17_1","Q17_2","Q17_3","Q17_4","Q18_1","Q18_2","Q18_3","Q18_4","Q18_5","Q18_6","Q18_7","Q18_8","Q18_9","Q18_10","Q18_11","Q18_12","Q18_13","Q18_14","Q18_15","Q18_16","Q19","Q19_7_TEXT","Q20","Q20_8_TEXT","Q21_1","Q21_2","Q21_3","Q21_4","Q21_5","Q22_1","Q22_2","Q22_3","Q22_4","Q22_5","Q22_6","Q22_7","Q23","Q24_1","Q24_2","Q24_3","Q24_4","Q24_5","Q24_6","Q24_7","Q24_8","Q24_9","Q25_1","Q25_2","Q25_3","Q25_4","Q25_5","Q25_6","Q26_1","Q26_2","Q26_3","Q26_4","Q26_5","Q26_6","Q27_1","Q27_2","Q27_3","Q28_5","Q28_6","Q28_7","Q29","Q30","Q31","psid","entrySigCheck","verification","expectedSignature","errorMessage","completeLink","screenOutLink","overQuotaLink","invalidSignatureLink","customLink1","customLink2","customLink3"
"1",2022-05-12 00:19:17,2022-05-12 00:23:42,0,"49.131.11.229",100,264,1,2022-05-12 00:23:42,"R_AG8Z6ALB7hnwi6R",NA,NA,NA,NA,22.3163,114.1842,"anonymous","EN",NA,1,30,1,2,NA,NA,NA,4,4,2,2,15,2,3,NA,NA,NA,NA,3,2,3,4,4,5,5,5,4,5,6,5,6,7,6,6,7,4,5,6,5,6,6,5,2,3,4,4,2,3,3,4,4,3,3,4,4,3,4,4,4,4,4,4,5,NA,4,NA,2,3,3,4,4,2,2,3,3,2,2,2,3,1,2,2,2,3,3,3,3,3,2,2,3,3,4,4,3,3,4,3,4,4,2,3,3,"test","test","test","test","test","test","2Ol8GD279xq4QTk_-t2avA**","on","success","ad5b57e9670bf547eb23a54e5c69e253d9ec8a325fb6130a5b24d558f540e9fa",NA,"https://dkr1.ssisurveys.com/projects/end?rst=1&psid=2Ol8GD279xq4QTk_-t2avA**&_k=5923&_s=d80d4fda9189c34bb11af80dc913e360dd7a99db3a84058f06f1b2f60d3e5374","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=2Ol8GD279xq4QTk_-t2avA**&_k=5923&_s=b99dfda33fa07f3ffca0e9c1bf5894bd4162fce8ecc7986e4241291d84bb7ae9","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=2Ol8GD279xq4QTk_-t2avA**&_k=5923&_s=0c57dc6a07b5d9cb4db32fab09d8d3e7b2af743017cb9e51fbcce0a1af72bbf8","https://dkr1.ssisurveys.com/projects/end?rst=2&svFlag=1&psid=2Ol8GD279xq4QTk_-t2avA**&_k=5923&_s=ca52c3313b483ed2b7b9d620b756817999ce4560af259758652f61851ce6d1f1",NA,NA,NA
"2",2022-05-12 01:34:46,2022-05-12 01:39:20,0,"124.244.114.92",100,274,1,2022-05-12 01:39:21,"R_3fC3hMZGYunPaTc",NA,NA,NA,NA,22.3539,114.1342,"anonymous","EN",NA,1,29,2,1,1,NA,NA,2,5,1,1,15,2,2,NA,NA,NA,NA,9,7,6,7,6,7,6,6,5,5,7,6,3,6,7,2,2,4,4,7,6,6,6,6,5,5,4,4,5,7,7,5,5,5,5,5,5,5,7,5,5,7,6,5,456,NA,245,NA,5,5,6,6,5,3,3,3,3,3,3,2,2,2,3,3,2,3,3,3,3,2,4,4,4,4,4,5,3,4,3,4,4,3,3,3,3,"Money","Area","Time","Money","無","Money","2Ol8GD279xpZk0ZGPo5xZA**","on","success","ed5ce5a20f5b53c067be57eeff4ef78b9b1cb1486834b2036960fbd57f6bfd47",NA,"https://dkr1.ssisurveys.com/projects/end?rst=1&psid=2Ol8GD279xpZk0ZGPo5xZA**&_k=5923&_s=47de918be32b6d934a2897ae1028cf5ef35cd6a28f1d4613cac36f864e161346","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=2Ol8GD279xpZk0ZGPo5xZA**&_k=5923&_s=28be307628429bff6a97e6d0e761d17f19e4752c939478af3e854352fe297359","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=2Ol8GD279xpZk0ZGPo5xZA**&_k=5923&_s=ec2360d0d5c22791b50ac029adecae566f2144925c85f4c555c3c1eaa479822c","https://dkr1.ssisurveys.com/projects/end?rst=2&svFlag=1&psid=2Ol8GD279xpZk0ZGPo5xZA**&_k=5923&_s=a4ce64c3dcbd082c2cb3a9057f4920608db6da7e11d0f9e1c60f2bb7185e49fe",NA,NA,NA
"3",2022-05-12 01:32:20,2022-05-12 01:39:40,0,"223.19.82.78",100,439,1,2022-05-12 01:39:40,"R_1OOcnLbZJTdA1EV",NA,NA,NA,NA,22.2908,114.1501,"anonymous","EN",NA,1,57,1,1,2,3,NA,5,10,2,2,9,1,2,NA,NA,NA,NA,10,8,5,5,5,6,7,6,7,1,7,2,1,10,10,10,10,4,5,4,4,5,5,5,5,5,3,2,5,6,7,7,7,7,5,7,6,6,7,7,7,7,7,7,1,NA,7,NA,6,3,1,1,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,5,1,5,1,6,2,5,6,6,5,6,7,2,4,3,"nil","nil","nil","nil","nil","nil","2Ol8GD279xrQ64E54qpePA**","on","success","20a5f2f19dc9fa12c7b59af9e7297018f71aae8cb2f0eb4c48761f99ecc8b556",NA,"https://dkr1.ssisurveys.com/projects/end?rst=1&psid=2Ol8GD279xrQ64E54qpePA**&_k=5923&_s=a12a3c333b48f166a8134d228fbbed98f39a81ef1cb57c480ae14396372b2bd7","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=2Ol8GD279xrQ64E54qpePA**&_k=5923&_s=fb8c6e3f24abb3becb632b7e026b5f50229c46f616f76e08b8d1145129041669","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=2Ol8GD279xrQ64E54qpePA**&_k=5923&_s=1cfedd3a8631c7f93f814d8eff987e1d067c49fdafc25a40c4cdc3959c924f4f","https://dkr1.ssisurveys.com/projects/end?rst=2&svFlag=1&psid=2Ol8GD279xrQ64E54qpePA**&_k=5923&_s=148c8109e3e69173b56135f56336f17c40cde73e2b872d7690e53415bd727a22",NA,NA,NA
"4",2022-05-12 01:33:34,2022-05-12 01:40:50,0,"165.225.234.173",100,435,1,2022-05-12 01:40:50,"R_1E4GfkrOwssEinv",NA,NA,NA,NA,22.2908,114.1501,"anonymous","EN",NA,1,42,1,1,2,1,NA,4,3,2,1,15,1,2,NA,NA,NA,NA,7,7,5,7,7,7,7,5,7,7,7,5,2,7,7,7,7,4,6,4,4,4,6,6,5,5,3,2,7,7,6,7,6,5,6,6,7,7,7,7,5,7,5,6,456,NA,256,NA,7,7,7,7,7,3,3,3,3,2,2,3,1,2,3,3,2,2,4,2,3,1,5,4,4,5,5,4,6,5,4,4,5,5,4,4,3,"要長時間戴口罩, 非常不便","很多地方不能去","不能社旅遊, 非常不便","失業","無","錢, 健康","2Ol8GD279xoKnshKoXC-7g**","on","success","ab88e9b2c19bb342ce0e36ad0eea2d646f8082211047f452b72d60b69a478649",NA,"https://dkr1.ssisurveys.com/projects/end?rst=1&psid=2Ol8GD279xoKnshKoXC-7g**&_k=5923&_s=e90b9420bb3aee73ef17cd810aea601c3ea541a70679fcafaebf8aea7fcdfa38","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=2Ol8GD279xoKnshKoXC-7g**&_k=5923&_s=ebd0ae75f970c0fad0bff29104579d7ab68830fe2fcd24df3f1a2ea46f4d6e41","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=2Ol8GD279xoKnshKoXC-7g**&_k=5923&_s=b4a131727e7182ccf3d603b479ff5315daadc7adf7d069f9283e1192174f9742","https://dkr1.ssisurveys.com/projects/end?rst=2&svFlag=1&psid=2Ol8GD279xoKnshKoXC-7g**&_k=5923&_s=c2aaaf043db609a829e60b08c8af220eacc19c43bb9a88b38c054a43d8f0e5b3",NA,NA,NA
"5",2022-05-12 01:39:29,2022-05-12 01:42:31,0,"223.16.75.87",100,182,1,2022-05-12 01:42:31,"R_SZcE9uuUxoZG5Ut",NA,NA,NA,NA,22.2908,114.1501,"anonymous","EN",NA,1,20,2,2,NA,NA,NA,4,5,2,1,15,1,2,NA,NA,NA,NA,10,10,9,10,10,10,9,10,9,8,5,8,7,7,5,7,5,4,3,6,5,5,5,7,5,2,3,5,6,4,4,2,6,6,6,3,7,7,7,6,4,4,5,6,15,NA,25,NA,3,4,5,5,5,2,3,4,4,4,3,4,2,2,2,3,2,3,3,3,3,2,2,4,4,6,5,4,2,3,3,4,3,3,3,2,3,"/","/","/","/","/","/","2Ol8GD279xp1Gsfr3eu4Jw**","on","success","29c0c0c55238c2d6da32bf3a16ee6885e12fb65ef3e92d1a7445b8b2d56083c8",NA,"https://dkr1.ssisurveys.com/projects/end?rst=1&psid=2Ol8GD279xp1Gsfr3eu4Jw**&_k=5923&_s=6e3bae11c3d9934fe6f014e55f5dc3b8d61e98cdbdb4c76daba41754c783ce77","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=2Ol8GD279xp1Gsfr3eu4Jw**&_k=5923&_s=dbf198a026e6aa16651f603f2589a10c4f583aedb2315ef7de4b2f3678b6d6c6","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=2Ol8GD279xp1Gsfr3eu4Jw**&_k=5923&_s=57083ad1a6b9bd89203aacb28bc8bff12229c3bd070beed5ef63e9f12d9a3b51","https://dkr1.ssisurveys.com/projects/end?rst=2&svFlag=1&psid=2Ol8GD279xp1Gsfr3eu4Jw**&_k=5923&_s=2ccd053a7a8279c66802cc07e013f05e0fbc23b737296c3ae43699a23eb6023f",NA,NA,NA
"6",2022-05-12 01:32:49,2022-05-12 01:44:19,0,"42.200.112.182",100,689,1,2022-05-12 01:44:19,"R_2Vg0qwfMgDk25qE",NA,NA,NA,NA,22.2908,114.1501,"anonymous","EN",NA,1,48,2,2,NA,NA,NA,4,5,1,1,15,2,2,NA,NA,NA,NA,10,2,2,10,10,10,10,2,10,1,10,1,10,10,10,2,10,4,4,4,4,4,4,4,4,4,3,3,6,6,6,5,4,4,4,6,4,4,6,5,4,4,4,4,7,"no",8,"no",4,4,4,3,4,1,1,1,1,1,1,1,3,1,2,2,2,1,2,2,1,1,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,"不能去外地旅遊","少了與朋友聚會","少了與家人見面","無","無","無","2Ol8GD279xpLebw2PcBpRQ**","on","success","986b83ffe54ae27fa9bbe6161e8214fa721a5d9c4aeed4ff91665e887db92ff1",NA,"https://dkr1.ssisurveys.com/projects/end?rst=1&psid=2Ol8GD279xpLebw2PcBpRQ**&_k=5923&_s=334137b9cea4518c363e8ecf6a3753ac939763d8662ac314cdcc2c27a95628dc","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=2Ol8GD279xpLebw2PcBpRQ**&_k=5923&_s=5771a573de3dc449f008a85e74f19e803c49b47e598af2b852eb3d7c8093788c","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=2Ol8GD279xpLebw2PcBpRQ**&_k=5923&_s=75f068805ebbb183add6a5482265cd664b0a3f78b30399640297198d4e05a1a0","https://dkr1.ssisurveys.com/projects/end?rst=2&svFlag=1&psid=2Ol8GD279xpLebw2PcBpRQ**&_k=5923&_s=e00d891bfa19739a95cf6316307b6956b4f99c56a628c4ce2f67f592f9b9bc5f",NA,NA,NA
"7",2022-05-12 01:33:59,2022-05-12 01:44:27,0,"180.219.81.84",100,628,1,2022-05-12 01:44:27,"R_1MM8kJoYQtjmpIC",NA,NA,NA,NA,22.3163,114.1842,"anonymous","EN",NA,1,39,2,1,1,NA,NA,3,6,2,2,15,1,5,NA,NA,NA,NA,9,9,9,8,7,7,7,6,6,9,9,2,2,9,8,8,8,6,6,6,6,6,6,6,6,6,5,5,6,5,4,3,6,6,6,6,7,7,6,6,6,6,6,6,5,NA,125,NA,6,3,5,3,6,4,4,3,3,4,4,4,2,3,3,3,3,4,4,4,4,3,4,4,5,5,5,5,5,4,4,5,5,5,4,4,4,"經濟的壓力","精神上的緊張","情緒","經濟","無","政府","2Ol8GD279xpcv2OXv1Mgiw**","on","success","11e3969040808f28483825b34e72a5fb91b4a522266b72809d76eec7a2069a2f",NA,"https://dkr1.ssisurveys.com/projects/end?rst=1&psid=2Ol8GD279xpcv2OXv1Mgiw**&_k=5923&_s=74d0b075d9f884392f641be2afa1d6a5b156500976b01b0da6144336bd3872af","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=2Ol8GD279xpcv2OXv1Mgiw**&_k=5923&_s=aa0b23e7211c8877db35641d055ce3a04983cc549426e696bc2cfe25ae935233","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=2Ol8GD279xpcv2OXv1Mgiw**&_k=5923&_s=47de105296576601c9e11ccd860d149cd1513a16b0dc2691aa2607a0e04aee12","https://dkr1.ssisurveys.com/projects/end?rst=2&svFlag=1&psid=2Ol8GD279xpcv2OXv1Mgiw**&_k=5923&_s=fa4d68320a04abef9d6353f3d02087fe6ef275a6beeddfe6aea7fb86e6a0bcc1",NA,NA,NA
"8",2022-05-12 01:30:00,2022-05-12 01:45:36,0,"218.102.148.36",100,935,1,2022-05-12 01:45:36,"R_1DnAYugQrfAWjmP",NA,NA,NA,NA,22.3163,114.1842,"anonymous","EN",NA,1,55,1,2,NA,NA,NA,2,7,2,1,10,1,2,NA,NA,NA,NA,10,5,5,5,5,5,6,5,6,6,5,3,5,5,5,5,5,5,5,5,5,5,5,6,5,5,4,5,5,7,7,5,5,7,7,6,4,5,7,7,6,6,6,6,34,NA,25,NA,4,5,4,2,4,2,2,1,2,1,2,2,4,2,2,2,1,2,2,1,2,1,5,6,6,5,6,4,6,6,2,4,5,5,4,4,3,"無","無","無","無","無","無","2Ol8GD279xoE_1kIDPnC4g**","on","success","7cca49f011617a5d00f31dbc7eb4f037e460d6ebf7321df0eed5c29b8e384953",NA,"https://dkr1.ssisurveys.com/projects/end?rst=1&psid=2Ol8GD279xoE_1kIDPnC4g**&_k=5923&_s=b884b7b28cfe3d4a38dce531075b1aa9886fe3781e39be49d4353b9d13e8099b","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=2Ol8GD279xoE_1kIDPnC4g**&_k=5923&_s=8f5544d3f8b5a449dcc0c0ce753b7b4aef7408cca7dc069b92e1de2a77a4e25a","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=2Ol8GD279xoE_1kIDPnC4g**&_k=5923&_s=b69b5966ca32e1f1f6686209cdfca2c76ba12bf32d0c3e6f04014d9d99593b81","https://dkr1.ssisurveys.com/projects/end?rst=2&svFlag=1&psid=2Ol8GD279xoE_1kIDPnC4g**&_k=5923&_s=ceff2cdc1148a270baab82001850e21f874740de9cd338d758ec838ae6a55a17",NA,NA,NA
"9",2022-05-12 01:32:56,2022-05-12 01:45:49,0,"210.6.188.73",100,772,1,2022-05-12 01:45:49,"R_2PclZQ5wxSaGh4U",NA,NA,NA,NA,22.3275,114.1307,"anonymous","EN",NA,1,30,2,1,1,NA,NA,3,5,2,2,15,2,2,NA,NA,NA,NA,7,7,7,7,7,8,7,7,7,7,7,7,7,7,7,7,6,6,7,7,5,7,7,7,7,3,3,2,6,6,6,7,7,7,7,7,6,6,6,6,7,7,7,7,234,NA,345,NA,6,7,7,4,5,3,2,2,2,2,2,3,4,3,2,2,1,1,2,2,1,1,6,7,7,7,7,6,7,7,6,6,7,7,5,5,4,"出外少","工作時間少了","容易累","染上新冠","財政問題","休息","2Ol8GD279xqZqtpXToHXlw**","on","success","a1b35a024619908122fb791784e3f0e1cab6130185588c7190ac25a2817aa394",NA,"https://dkr1.ssisurveys.com/projects/end?rst=1&psid=2Ol8GD279xqZqtpXToHXlw**&_k=5923&_s=85dc17b9061fd424c34ac2c93e9c013af6f7a256157b0723c5974877a77cc884","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=2Ol8GD279xqZqtpXToHXlw**&_k=5923&_s=2a5d6f5cdd13ece728c6678556d2ec2bf995a80cc41be926c5b596e7b224775a","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=2Ol8GD279xqZqtpXToHXlw**&_k=5923&_s=139023d58f05c624cd03bf51e3e352e00e559cd3ea822b51e404d1356afc4cae","https://dkr1.ssisurveys.com/projects/end?rst=2&svFlag=1&psid=2Ol8GD279xqZqtpXToHXlw**&_k=5923&_s=88f1520d7fdb995001fb0bee628cc1bd0a2c0a85aaea4e3e7cf269ff08cfdb4c",NA,NA,NA
"10",2022-05-12 01:42:25,2022-05-12 01:47:57,0,"123.203.195.172",100,331,1,2022-05-12 01:47:57,"R_29c6ZdIlkO7Rl6p",NA,NA,NA,NA,22.2908,114.1501,"anonymous","EN",NA,1,31,1,2,NA,NA,NA,4,4,2,2,15,1,5,NA,NA,NA,NA,10,10,10,9,10,10,10,10,10,10,10,7,9,6,7,3,5,7,6,6,5,6,7,6,6,3,3,3,6,5,6,4,4,3,5,3,5,3,7,4,3,4,4,5,135,NA,34,NA,6,5,5,3,4,2,2,2,2,2,2,1,3,2,2,1,2,2,2,2,2,1,7,2,4,5,5,6,5,4,5,5,4,7,5,5,4,"無","無","無","金錢","收入低","錢","2Ol8GD279xqt19M-BYgyeg**","on","success","f0c8b46c486d7114d4b6da013b858c9e220fa11e3b9c11f378d7b8957a9b6ef3",NA,"https://dkr1.ssisurveys.com/projects/end?rst=1&psid=2Ol8GD279xqt19M-BYgyeg**&_k=5923&_s=77ad9802c2249749fab26c0db5de36ffd3303c37f6a37bdc195dbba88bef32e9","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=2Ol8GD279xqt19M-BYgyeg**&_k=5923&_s=f62f0440e1502192109173f7f2b92c31f96a98a7799040e13cf6400c2ebf1ea3","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=2Ol8GD279xqt19M-BYgyeg**&_k=5923&_s=4477f1ddfdb46c172e8b4ef7edaf20097353b4400484ef77cd13ed745d3e3242","https://dkr1.ssisurveys.com/projects/end?rst=2&svFlag=1&psid=2Ol8GD279xqt19M-BYgyeg**&_k=5923&_s=d9f792ea3230cb7117f38fac3c735a5270a631ee77a482d90de2bb829809071a",NA,NA,NA
